Status,ScriptPath,TypeName,BaseTypeName,SerializedReference,ExternalCodeReferenceCount,ExternalCodeReferenceFiles,Notes
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/Sprint1CoreArchitectureCurrentEditModeTests.cs","StarFrontier.Tests.Sprint1.Sprint1CoreArchitectureCurrentEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/Sprint1CurrentTestEnvironment.cs","StarFrontier.Tests.Sprint1.Sprint1BootstrapFixture","System.Object","False","2","Assets/_Project/Tests/EditMode/Sprint1Verification/ConfigAndStateCurrentEditModeTests.cs | Assets/_Project/Tests/EditMode/Sprint1Verification/SaveService2ACurrentEditModeTests.cs","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint1Verification/TickServiceCurrentEditModeTests.cs","StarFrontier.Tests.Sprint1.TickServiceCurrentEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint2Verification/Sprint2GalaxyContentEditModeTests.cs","StarFrontier.Tests.Sprint2.Sprint2GalaxyContentEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint2Verification/Sprint2GalaxyStateRoundTripEditModeTests.cs","StarFrontier.Tests.Sprint2.Sprint2GalaxyStateRoundTripEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint2Verification/Sprint2Reflection.cs","StarFrontier.Tests.Sprint2.Sprint2Reflection","System.Object","False","1","Assets/_Project/Tests/EditMode/Sprint2Verification/Sprint2GalaxyStateRoundTripEditModeTests.cs","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint2Verification/Sprint2RouteGraphEditModeTests.cs","StarFrontier.Tests.Sprint2.Sprint2RouteGraphEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint2Verification/Sprint2TestData.cs","StarFrontier.Tests.Sprint2.Sprint2TestData","System.Object","False","2","Assets/_Project/Tests/EditMode/Sprint2Verification/Sprint2GalaxyContentEditModeTests.cs | Assets/_Project/Tests/EditMode/Sprint2Verification/Sprint2RouteGraphEditModeTests.cs","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint2Verification/Sprint2TravelContractEditModeTests.cs","StarFrontier.Tests.Sprint2.Sprint2TravelContractEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
"EXCLUDED_EDITOR_OR_TEST","Assets/_Project/Tests/EditMode/Sprint3Verification/MetaSceneShipTransformUtility2AEditModeTests.cs","MetaSceneShipTransformUtility2AEditModeTests","System.Object","False","0","","Editor/test scripts are not classified as unused by this audit."
